storm_id,archive,image,date,WashPred,_id,Lat,Long
isaias,20200804a_jpgs,P21776464.jpg,2020/08/04,0.30279163,5f71fed4c7b9ab1dcf3b3f83,32.749924187670196,-79.88502341633995
isaias,20200804a_jpgs,S21775281.jpg,2020/08/04,0.00801002,5f71fed4c7b9ab1dcf3b48e2,33.01549898024045,-79.3541291874037
isaias,20200804a_jpgs,S21766066.jpg,2020/08/04,0.6086366999999999,5f71fed4c7b9ab1dcf3b4058,35.186742184618474,-75.76822345216394
isaias,20200804a_jpgs,P21771526.jpg,2020/08/04,0.18808237,5f71fed4c7b9ab1dcf3b3ea4,33.963003091322626,-77.96963448933367
isaias,20200804a_jpgs,P21771727.jpg,2020/08/04,1.5040963e-05,5f71fed4c7b9ab1dcf3b3edd,34.10088645650147,-77.945747381877
isaias,20200804a_jpgs,S21775129.jpg,2020/08/04,0.80924606,5f71fed4c7b9ab1dcf3b48b7,33.105600288621275,-79.29579421775352
isaias,20200804a_jpgs,P21772563.jpg,2020/08/04,0.62108225,5f71fed4c7b9ab1dcf3b3f4d,33.94329320698145,-77.97840847477096
isaias,20200804a_jpgs,C21776412.jpg,2020/08/04,0.36932218,5f71fed4c7b9ab1dcf3b3dbf,32.74209234961995,-79.84349804992385
isaias,20200804a_jpgs,S21774589.jpg,2020/08/04,0.094157405,5f71fed4c7b9ab1dcf3b481e,33.41178546120415,-79.13271141479495
isaias,20200804a_jpgs,S21766115.jpg,2020/08/04,0.9964324000000001,5f71fed4c7b9ab1dcf3b4066,35.176215912287056,-75.79935736754788
isaias,20200804a_jpgs,P21767917.jpg,2020/08/04,0.00434097,5f71fed4c7b9ab1dcf3b3e46,34.69069211819133,-76.67493617762722
isaias,20200804a_jpgs,S21776669.jpg,2020/08/04,0.37008575,5f71fed4c7b9ab1dcf3b49eb,32.88461701501829,-79.92772365631043
isaias,20200804a_jpgs,P21772478.jpg,2020/08/04,0.00018097526999999997,5f71fed4c7b9ab1dcf3b3f35,33.999948581117124,-77.95427728279455
isaias,20200804a_jpgs,P21776988.jpg,2020/08/04,0.2543379,5f71fed4c7b9ab1dcf3b3fd5,32.8479296764476,-79.87334911526807
isaias,20200804a_jpgs,S21774861.jpg,2020/08/04,0.0014389483,5f71fed4c7b9ab1dcf3b486b,33.22550254464137,-79.17980933363502
isaias,20200804a_jpgs,S21769560.jpg,2020/08/04,0.9997185,5f71fed4c7b9ab1dcf3b4361,34.63088421102503,-77.15699380761038
isaias,20200804a_jpgs,C21777003.jpg,2020/08/04,0.7560102,5f71fed4c7b9ab1dcf3b3e24,32.84271850707325,-79.89271092254278
isaias,20200804a_jpgs,P21771692.jpg,2020/08/04,0.006709164,5f71fed4c7b9ab1dcf3b3ed3,34.07610969584972,-77.94832251141128
isaias,20200804a_jpgs,S21770727.jpg,2020/08/04,0.0009667607400000001,5f71fed4c7b9ab1dcf3b44ac,34.16092434294015,-77.83119174542463
isaias,20200804a_jpgs,S21773793.jpg,2020/08/04,0.9115771999999999,5f71fed4c7b9ab1dcf3b473c,33.800466706190974,-78.72070920838563
isaias,20200804a_jpgs,S21771477.jpg,2020/08/04,0.8516950000000001,5f71fed4c7b9ab1dcf3b455d,33.920453131296874,-77.9602680247282
isaias,20200804a_jpgs,S21772470.jpg,2020/08/04,2.2807564000000003e-05,5f71fed4c7b9ab1dcf3b45fa,34.01444861001827,-77.98364159431593
isaias,20200804a_jpgs,C21771890.jpg,2020/08/04,4.8717805e-08,5f71fed4c7b9ab1dcf3b3d55,34.216262743883604,-77.94897341127756
isaias,20200804a_jpgs,S21774783.jpg,2020/08/04,0.00032230158,5f71fed4c7b9ab1dcf3b4855,33.282616153577024,-79.17379540778205
isaias,20200804a_jpgs,S21766530.jpg,2020/08/04,0.9985712999999999,5f71fed4c7b9ab1dcf3b40dc,35.0521919054009,-76.04796857957595
isaias,20200804a_jpgs,S21775147.jpg,2020/08/04,0.23949403,5f71fed4c7b9ab1dcf3b48bc,33.09996873981985,-79.30726128995481
